Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2022-03-14,2022,Tata Steel Limited,TATASTEEL.NS,NSE,114.86,115.99,108.08,114.72,318188220
2022-03-21,2022,Tata Steel Limited,TATASTEEL.NS,NSE,115.12,120.23,113.37,117.85,460638600
2022-03-28,2022,Tata Steel Limited,TATASTEEL.NS,NSE,117.94,119.26,114.42,115.92,243629980
2022-04-04,2022,Tata Steel Limited,TATASTEEL.NS,NSE,115.92,122.05,115.69,120.65,355002630
2022-04-11,2022,Tata Steel Limited,TATASTEEL.NS,NSE,120.64,121.81,114.08,116.13,158908300
2022-04-18,2022,Tata Steel Limited,TATASTEEL.NS,NSE,117.23,120.28,112.11,112.44,322111330
2022-04-25,2022,Tata Steel Limited,TATASTEEL.NS,NSE,110.02,113.69,106.53,111.87,296802260
2022-05-02,2022,Tata Steel Limited,TATASTEEL.NS,NSE,110.63,117.06,109.4,112.98,349395110
2022-05-09,2022,Tata Steel Limited,TATASTEEL.NS,NSE,110.9,112.15,96.11,96.55,480269560
2022-05-16,2022,Tata Steel Limited,TATASTEEL.NS,NSE,98.49,106.41,96.29,103.03,389190210
2022-05-23,2022,Tata Steel Limited,TATASTEEL.NS,NSE,96.55,96.55,87.29,91.84,721652450
2022-05-30,2022,Tata Steel Limited,TATASTEEL.NS,NSE,93.21,96.18,91.27,93.94,421137630
2022-06-06,2022,Tata Steel Limited,TATASTEEL.NS,NSE,93.74,95.84,88.95,90.1,359111840
2022-06-13,2022,Tata Steel Limited,TATASTEEL.NS,NSE,88.39,89.22,78.82,79.8,495912990
2022-06-20,2022,Tata Steel Limited,TATASTEEL.NS,NSE,83.95,83.95,76.72,79.11,571220900
2022-06-27,2022,Tata Steel Limited,TATASTEEL.NS,NSE,80.75,82.98,79.69,80.97,369214510
2022-07-04,2022,Tata Steel Limited,TATASTEEL.NS,NSE,80.57,85.15,77.74,82.18,461060980
2022-07-11,2022,Tata Steel Limited,TATASTEEL.NS,NSE,82.11,86.18,81.17,81.98,476255590
2022-07-18,2022,Tata Steel Limited,TATASTEEL.NS,NSE,83.21,87.57,82.77,86.83,334977120
2022-07-25,2022,Tata Steel Limited,TATASTEEL.NS,NSE,86.73,101.39,86.6,99.81,582575381
2022-08-01,2022,Tata Steel Limited,TATASTEEL.NS,NSE,102.5,103.38,97.73,99.58,385725244
2022-08-08,2022,Tata Steel Limited,TATASTEEL.NS,NSE,100.05,104.73,98.79,104.5,286529472
2022-08-15,2022,Tata Steel Limited,TATASTEEL.NS,NSE,104.5,105.47,101.62,102.09,229747097
2022-08-22,2022,Tata Steel Limited,TATASTEEL.NS,NSE,101.58,101.67,96.01,99.58,313698996
2022-08-29,2022,Tata Steel Limited,TATASTEEL.NS,NSE,96.52,100.65,95.78,97.87,225353669
2022-09-05,2022,Tata Steel Limited,TATASTEEL.NS,NSE,98.38,101.02,97.73,98.05,278679815
2022-09-12,2022,Tata Steel Limited,TATASTEEL.NS,NSE,99.07,102.41,97.4,98.05,342291857
2022-09-19,2022,Tata Steel Limited,TATASTEEL.NS,NSE,98.51,100.09,95.55,96.75,320575488
2022-09-26,2022,Tata Steel Limited,TATASTEEL.NS,NSE,96.85,96.89,88.13,92.11,405286308
2022-10-03,2022,Tata Steel Limited,TATASTEEL.NS,NSE,92.39,96.29,90.91,95.82,161719200
2022-10-10,2022,Tata Steel Limited,TATASTEEL.NS,NSE,94.62,96.15,91.65,92.86,186207376
2022-10-17,2022,Tata Steel Limited,TATASTEEL.NS,NSE,92.53,94.11,91.0,92.95,176120793
2022-10-24,2022,Tata Steel Limited,TATASTEEL.NS,NSE,94.62,97.08,93.41,94.25,169998702
2022-10-31,2022,Tata Steel Limited,TATASTEEL.NS,NSE,94.53,97.4,91.42,97.17,259492764
2022-11-07,2022,Tata Steel Limited,TATASTEEL.NS,NSE,98.24,100.37,96.89,99.77,218519665
2022-11-14,2022,Tata Steel Limited,TATASTEEL.NS,NSE,100.65,102.04,96.94,97.87,192773382
2022-11-21,2022,Tata Steel Limited,TATASTEEL.NS,NSE,99.91,99.91,96.06,98.51,160159798
2022-11-28,2022,Tata Steel Limited,TATASTEEL.NS,NSE,98.33,104.36,96.94,103.9,297564292
2022-12-05,2022,Tata Steel Limited,TATASTEEL.NS,NSE,105.1,107.7,101.76,102.46,254599304
2022-12-12,2022,Tata Steel Limited,TATASTEEL.NS,NSE,102.23,105.24,100.83,103.01,177051731
2022-12-19,2022,Tata Steel Limited,TATASTEEL.NS,NSE,103.01,103.99,94.57,94.85,170833479
2022-12-26,2022,Tata Steel Limited,TATASTEEL.NS,NSE,95.36,106.45,94.29,104.5,268489819
2023-01-02,2023,Tata Steel Limited,TATASTEEL.NS,NSE,106.12,111.78,105.52,107.28,390856523
2023-01-09,2023,Tata Steel Limited,TATASTEEL.NS,NSE,108.44,112.8,108.12,111.73,246459127
2023-01-16,2023,Tata Steel Limited,TATASTEEL.NS,NSE,112.66,115.31,109.46,114.05,228340529
2023-01-23,2023,Tata Steel Limited,TATASTEEL.NS,NSE,114.47,114.89,110.48,111.92,161602873
2023-01-30,2023,Tata Steel Limited,TATASTEEL.NS,NSE,111.73,115.17,108.44,111.64,249203592
2023-02-06,2023,Tata Steel Limited,TATASTEEL.NS,NSE,111.32,111.32,100.46,100.93,352543819
2023-02-13,2023,Tata Steel Limited,TATASTEEL.NS,NSE,100.93,104.92,100.42,104.13,187957681
2023-02-20,2023,Tata Steel Limited,TATASTEEL.NS,NSE,104.17,105.94,101.62,101.81,139291557
2023-02-27,2023,Tata Steel Limited,TATASTEEL.NS,NSE,101.85,102.09,96.06,99.26,381384499
2023-03-06,2023,Tata Steel Limited,TATASTEEL.NS,NSE,99.72,101.07,96.47,100.28,250475007
2023-03-13,2023,Tata Steel Limited,TATASTEEL.NS,NSE,100.42,101.25,96.2,99.26,252119060
2023-03-20,2023,Tata Steel Limited,TATASTEEL.NS,NSE,98.42,98.75,94.2,94.71,153823918
2023-03-27,2023,Tata Steel Limited,TATASTEEL.NS,NSE,95.13,97.87,94.29,96.94,115257562
2023-04-03,2023,Tata Steel Limited,TATASTEEL.NS,NSE,97.49,97.63,95.73,96.8,68089012
2023-04-10,2023,Tata Steel Limited,TATASTEEL.NS,NSE,96.94,100.56,96.94,99.72,131527673
2023-04-17,2023,Tata Steel Limited,TATASTEEL.NS,NSE,99.81,102.41,97.73,98.47,168195730
2023-04-24,2023,Tata Steel Limited,TATASTEEL.NS,NSE,98.7,100.65,97.73,100.14,122835962
2023-05-01,2023,Tata Steel Limited,TATASTEEL.NS,NSE,100.14,103.8,100.14,100.79,175690039
2023-05-08,2023,Tata Steel Limited,TATASTEEL.NS,NSE,101.34,103.15,98.84,99.03,126955364
2023-05-15,2023,Tata Steel Limited,TATASTEEL.NS,NSE,99.3,100.79,96.52,97.08,123688473
2023-05-22,2023,Tata Steel Limited,TATASTEEL.NS,NSE,97.4,99.03,96.75,98.7,125594221
2023-05-29,2023,Tata Steel Limited,TATASTEEL.NS,NSE,99.26,101.07,97.96,100.18,183685937
2023-06-05,2023,Tata Steel Limited,TATASTEEL.NS,NSE,100.79,104.82,100.0,101.02,194324019
2023-06-12,2023,Tata Steel Limited,TATASTEEL.NS,NSE,101.25,106.49,101.25,105.98,191332903
2023-06-19,2023,Tata Steel Limited,TATASTEEL.NS,NSE,107.1,107.23,101.3,101.67,156461987
2023-06-26,2023,Tata Steel Limited,TATASTEEL.NS,NSE,104.99,107.48,103.55,107.29,100099346
2023-07-03,2023,Tata Steel Limited,TATASTEEL.NS,NSE,107.53,109.44,106.57,106.9,148291103
2023-07-10,2023,Tata Steel Limited,TATASTEEL.NS,NSE,107.53,112.94,106.95,112.22,210792914
2023-07-17,2023,Tata Steel Limited,TATASTEEL.NS,NSE,112.99,114.33,110.64,111.69,143621122
2023-07-24,2023,Tata Steel Limited,TATASTEEL.NS,NSE,111.6,116.34,109.54,115.52,229526092
2023-07-31,2023,Tata Steel Limited,TATASTEEL.NS,NSE,115.52,118.92,112.55,113.99,192073613
2023-08-07,2023,Tata Steel Limited,TATASTEEL.NS,NSE,114.57,116.29,111.98,115.24,126917757
2023-08-14,2023,Tata Steel Limited,TATASTEEL.NS,NSE,115.24,115.33,109.87,110.93,123191463
2023-08-21,2023,Tata Steel Limited,TATASTEEL.NS,NSE,111.84,115.05,110.97,111.98,134513664
2023-08-28,2023,Tata Steel Limited,TATASTEEL.NS,NSE,112.08,123.28,112.08,121.7,243811708
2023-09-04,2023,Tata Steel Limited,TATASTEEL.NS,NSE,123.76,127.31,122.8,124.05,205633315
2023-09-11,2023,Tata Steel Limited,TATASTEEL.NS,NSE,124.05,128.55,122.33,126.4,238673714
2023-09-18,2023,Tata Steel Limited,TATASTEEL.NS,NSE,129.32,129.32,120.22,121.42,169933487
2023-09-25,2023,Tata Steel Limited,TATASTEEL.NS,NSE,121.94,125.06,120.79,123.47,164069576
2023-10-02,2023,Tata Steel Limited,TATASTEEL.NS,NSE,123.47,123.67,119.26,120.6,100878394
2023-10-09,2023,Tata Steel Limited,TATASTEEL.NS,NSE,119.55,121.56,117.44,119.79,120934213
2023-10-16,2023,Tata Steel Limited,TATASTEEL.NS,NSE,119.83,123.28,117.54,117.92,130723948
2023-10-23,2023,Tata Steel Limited,TATASTEEL.NS,NSE,118.16,118.21,113.9,114.85,122768496
2023-10-30,2023,Tata Steel Limited,TATASTEEL.NS,NSE,115.96,116.15,109.78,112.36,170077142
2023-11-06,2023,Tata Steel Limited,TATASTEEL.NS,NSE,113.51,115.43,112.55,115.0,122817193
2023-11-13,2023,Tata Steel Limited,TATASTEEL.NS,NSE,115.76,120.46,114.85,119.93,110452020
